_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1049,2012Q3,S08000017,"",S08000017,Upper GI,"",12,"",12,""
1050,2012Q3,S08000017,"",S08000024,Upper GI,"",3,"",3,""
1051,2012Q3,S08000019,"",S08000019,Upper GI,"",25,"",25,""
1052,2012Q3,S08000019,"",S08000030,Upper GI,"",1,"",1,""
1053,2012Q3,S08000019,"",S08000031,Upper GI,"",3,"",3,""
1054,2012Q3,S08000020,"",S08000020,Upper GI,"",24,"",22,""
1055,2012Q3,S08000022,"",S08000022,Upper GI,"",16,"",13,""
1056,2012Q3,S08000022,"",S08000031,Upper GI,"",1,"",1,""
1057,2012Q3,S08000024,"",S08000024,Upper GI,"",42,"",41,""
1058,2012Q3,S08000026,"",S08000020,Upper GI,"",1,"",1,""
1059,2012Q3,S08000026,"",S08000026,Upper GI,"",1,"",1,""
1060,2012Q3,S08000029,"",S08000024,Upper GI,"",5,"",4,""
1061,2012Q3,S08000029,"",S08000029,Upper GI,"",23,"",23,""
1062,2012Q3,S08000030,"",S08000030,Upper GI,"",23,"",23,""
1063,2012Q3,S08000031,"",S08000024,Upper GI,"",1,"",1,""
1064,2012Q3,S08000031,"",S08000031,Upper GI,"",78,"",73,""
1065,2012Q3,S08000032,"",S08000031,Upper GI,"",7,"",4,""
1066,2012Q3,S08000032,"",S08000032,Upper GI,"",30,"",30,""
1067,2012Q3,S92000003,d,S08000015,Upper GI,"",17,"",17,""
1068,2012Q3,S92000003,d,S08000016,Upper GI,"",6,"",6,""
1069,2012Q3,S92000003,d,S08000017,Upper GI,"",12,"",12,""
1070,2012Q3,S92000003,d,S08000019,Upper GI,"",25,"",25,""
1071,2012Q3,S92000003,d,S08000020,Upper GI,"",25,"",23,""
1072,2012Q3,S92000003,d,S08000022,Upper GI,"",16,"",13,""
1073,2012Q3,S92000003,d,S08000024,Upper GI,"",52,"",50,""
1074,2012Q3,S92000003,d,S08000026,Upper GI,"",1,"",1,""
1075,2012Q3,S92000003,d,S08000029,Upper GI,"",23,"",23,""
1076,2012Q3,S92000003,d,S08000030,Upper GI,"",24,"",24,""
1077,2012Q3,S92000003,d,S08000031,Upper GI,"",94,"",85,""
1078,2012Q3,S92000003,d,S08000032,Upper GI,"",30,"",30,""
1079,2012Q3,S08000015,"",S08000015,Urological,"",20,"",19,""
1080,2012Q3,S08000015,"",S08000031,Urological,"",1,"",1,""
1081,2012Q3,S08000016,"",S08000016,Urological,"",18,"",18,""
1082,2012Q3,S08000016,"",S08000024,Urological,"",1,"",1,""
1083,2012Q3,S08000017,"",S08000017,Urological,"",22,"",21,""
1084,2012Q3,S08000017,"",S08000024,Urological,"",4,"",4,""
1085,2012Q3,S08000019,"",S08000019,Urological,"",29,"",25,""
1086,2012Q3,S08000019,"",S08000031,Urological,"",1,"",1,""
1087,2012Q3,S08000020,"",S08000020,Urological,"",36,"",32,""
1088,2012Q3,S08000020,"",S08000024,Urological,"",1,"",0,""
1089,2012Q3,S08000022,"",S08000022,Urological,"",20,"",19,""
1090,2012Q3,S08000022,"",S08000024,Urological,"",2,"",2,""
1091,2012Q3,S08000022,"",S08000031,Urological,"",2,"",2,""
1092,2012Q3,S08000024,"",S08000024,Urological,"",80,"",66,""
1093,2012Q3,S08000025,"",S08000020,Urological,"",2,"",2,""
1094,2012Q3,S08000028,"",S08000028,Urological,"",2,"",2,""
1095,2012Q3,S08000029,"",S08000024,Urological,"",1,"",1,""
1096,2012Q3,S08000029,"",S08000029,Urological,"",36,"",35,""
1097,2012Q3,S08000030,"",S08000030,Urological,"",32,"",30,""
1098,2012Q3,S08000031,"",S08000024,Urological,"",1,"",1,""
1099,2012Q3,S08000031,"",S08000031,Urological,"",106,"",96,""
1100,2012Q3,S08000032,"",S08000032,Urological,"",29,"",28,""
1101,2012Q3,S92000003,d,S08000015,Urological,"",20,"",19,""
1102,2012Q3,S92000003,d,S08000016,Urological,"",18,"",18,""
1103,2012Q3,S92000003,d,S08000017,Urological,"",22,"",21,""
1104,2012Q3,S92000003,d,S08000019,Urological,"",29,"",25,""
1105,2012Q3,S92000003,d,S08000020,Urological,"",38,"",34,""
1106,2012Q3,S92000003,d,S08000022,Urological,"",20,"",19,""
1107,2012Q3,S92000003,d,S08000024,Urological,"",90,"",75,""
1108,2012Q3,S92000003,d,S08000028,Urological,"",2,"",2,""
1109,2012Q3,S92000003,d,S08000029,Urological,"",36,"",35,""
1110,2012Q3,S92000003,d,S08000030,Urological,"",32,"",30,""
1111,2012Q3,S92000003,d,S08000031,Urological,"",110,"",100,""
1112,2012Q3,S92000003,d,S08000032,Urological,"",29,"",28,""
1113,2012Q4,S08000015,"",S08000015,All Cancer Types,d,220,"",212,""
1114,2012Q4,S08000015,"",S08000017,All Cancer Types,d,4,"",4,""
1115,2012Q4,S08000015,"",S08000031,All Cancer Types,d,28,"",25,""
1116,2012Q4,S08000015,"",SB0801,All Cancer Types,d,6,"",4,""
1117,2012Q4,S08000016,"",S08000016,All Cancer Types,d,64,"",64,""
1118,2012Q4,S08000016,"",S08000024,All Cancer Types,d,5,"",5,""
1119,2012Q4,S08000017,"",S08000017,All Cancer Types,d,67,"",66,""
1120,2012Q4,S08000017,"",S08000024,All Cancer Types,d,11,"",8,""
1121,2012Q4,S08000017,"",S08000031,All Cancer Types,d,2,"",2,""
1122,2012Q4,S08000017,"",SB0801,All Cancer Types,d,1,"",1,""
1123,2012Q4,S08000019,"",S08000019,All Cancer Types,d,149,"",146,""
1124,2012Q4,S08000019,"",S08000024,All Cancer Types,d,1,"",1,""
1125,2012Q4,S08000019,"",S08000031,All Cancer Types,d,32,"",28,""
1126,2012Q4,S08000019,"",SB0801,All Cancer Types,d,6,"",6,""
1127,2012Q4,S08000020,"",S08000020,All Cancer Types,d,303,"",289,""
1128,2012Q4,S08000020,"",S08000024,All Cancer Types,d,1,"",1,""
1129,2012Q4,S08000020,"",S08000030,All Cancer Types,d,1,"",1,""
1130,2012Q4,S08000022,"",S08000020,All Cancer Types,d,3,"",3,""
1131,2012Q4,S08000022,"",S08000022,All Cancer Types,d,173,"",161,""
1132,2012Q4,S08000022,"",S08000031,All Cancer Types,d,6,"",6,""
1133,2012Q4,S08000024,"",S08000019,All Cancer Types,d,1,"",1,""
1134,2012Q4,S08000024,"",S08000024,All Cancer Types,d,557,"",540,""
1135,2012Q4,S08000024,"",S08000029,All Cancer Types,d,5,"",5,""
1136,2012Q4,S08000025,"",S08000020,All Cancer Types,d,4,"",4,""
1137,2012Q4,S08000025,"",S08000025,All Cancer Types,d,4,"",4,""
1138,2012Q4,S08000026,"",S08000020,All Cancer Types,d,7,"",7,""
1139,2012Q4,S08000026,"",S08000026,All Cancer Types,d,11,"",11,""
1140,2012Q4,S08000028,"",S08000022,All Cancer Types,d,7,"",7,""
1141,2012Q4,S08000028,"",S08000028,All Cancer Types,d,6,"",6,""
1142,2012Q4,S08000028,"",S08000031,All Cancer Types,d,1,"",1,""
1143,2012Q4,S08000029,"",S08000024,All Cancer Types,d,31,"",25,""
1144,2012Q4,S08000029,"",S08000029,All Cancer Types,d,141,"",139,""
1145,2012Q4,S08000030,"",S08000020,All Cancer Types,d,1,"",1,""
1146,2012Q4,S08000030,"",S08000024,All Cancer Types,d,6,"",5,""
1147,2012Q4,S08000030,"",S08000030,All Cancer Types,d,201,"",192,""
1148,2012Q4,S08000031,"",S08000022,All Cancer Types,d,3,"",3,""
1149,2012Q4,S08000031,"",S08000031,All Cancer Types,d,772,"",735,""
1150,2012Q4,S08000031,"",S08000032,All Cancer Types,d,14,"",14,""
1151,2012Q4,S08000031,"",SB0801,All Cancer Types,d,14,"",11,""
1152,2012Q4,S08000032,"",S08000024,All Cancer Types,d,1,"",1,""
1153,2012Q4,S08000032,"",S08000031,All Cancer Types,d,42,"",41,""
1154,2012Q4,S08000032,"",S08000032,All Cancer Types,d,222,"",217,""
1155,2012Q4,S08000032,"",SB0801,All Cancer Types,d,10,"",10,""
1156,2012Q4,S92000003,d,S08000015,All Cancer Types,d,220,"",212,""
1157,2012Q4,S92000003,d,S08000016,All Cancer Types,d,64,"",64,""
1158,2012Q4,S92000003,d,S08000017,All Cancer Types,d,71,"",70,""
1159,2012Q4,S92000003,d,S08000019,All Cancer Types,d,150,"",147,""
1160,2012Q4,S92000003,d,S08000020,All Cancer Types,d,318,"",304,""
1161,2012Q4,S92000003,d,S08000022,All Cancer Types,d,183,"",171,""
1162,2012Q4,S92000003,d,S08000024,All Cancer Types,d,613,"",586,""
1163,2012Q4,S92000003,d,S08000025,All Cancer Types,d,4,"",4,""
1164,2012Q4,S92000003,d,S08000026,All Cancer Types,d,11,"",11,""
1165,2012Q4,S92000003,d,S08000028,All Cancer Types,d,6,"",6,""
1166,2012Q4,S92000003,d,S08000029,All Cancer Types,d,146,"",144,""
1167,2012Q4,S92000003,d,S08000030,All Cancer Types,d,202,"",193,""
1168,2012Q4,S92000003,d,S08000031,All Cancer Types,d,883,"",838,""
1169,2012Q4,S92000003,d,S08000032,All Cancer Types,d,236,"",231,""
1170,2012Q4,S92000003,d,SB0801,All Cancer Types,d,37,"",32,""
1171,2012Q4,S08000015,"",S08000015,Breast,"",70,"",70,""
1172,2012Q4,S08000015,"",S08000017,Breast,"",4,"",4,""
1173,2012Q4,S08000015,"",S08000031,Breast,"",1,"",1,""
1174,2012Q4,S08000016,"",S08000016,Breast,"",15,"",15,""
1175,2012Q4,S08000017,"",S08000017,Breast,"",13,"",13,""
1176,2012Q4,S08000017,"",S08000024,Breast,"",2,"",2,""
1177,2012Q4,S08000019,"",S08000019,Breast,"",32,"",32,""
1178,2012Q4,S08000020,"",S08000020,Breast,"",87,"",87,""
1179,2012Q4,S08000020,"",S08000024,Breast,"",1,"",1,""
1180,2012Q4,S08000022,"",S08000022,Breast,"",47,"",47,""
1181,2012Q4,S08000024,"",S08000019,Breast,"",1,"",1,""
1182,2012Q4,S08000024,"",S08000024,Breast,"",167,"",167,""
1183,2012Q4,S08000024,"",S08000029,Breast,"",5,"",5,""
1184,2012Q4,S08000025,"",S08000025,Breast,"",2,"",2,""
1185,2012Q4,S08000029,"",S08000029,Breast,"",22,"",22,""
1186,2012Q4,S08000030,"",S08000030,Breast,"",62,"",61,""
1187,2012Q4,S08000031,"",S08000031,Breast,"",263,"",262,""
1188,2012Q4,S08000031,"",S08000032,Breast,"",14,"",14,""
1189,2012Q4,S08000032,"",S08000032,Breast,"",51,"",51,""
1190,2012Q4,S92000003,d,S08000015,Breast,"",70,"",70,""
1191,2012Q4,S92000003,d,S08000016,Breast,"",15,"",15,""
1192,2012Q4,S92000003,d,S08000017,Breast,"",17,"",17,""
1193,2012Q4,S92000003,d,S08000019,Breast,"",33,"",33,""
1194,2012Q4,S92000003,d,S08000020,Breast,"",87,"",87,""
1195,2012Q4,S92000003,d,S08000022,Breast,"",47,"",47,""
1196,2012Q4,S92000003,d,S08000024,Breast,"",170,"",170,""
1197,2012Q4,S92000003,d,S08000025,Breast,"",2,"",2,""
1198,2012Q4,S92000003,d,S08000029,Breast,"",27,"",27,""
1199,2012Q4,S92000003,d,S08000030,Breast,"",62,"",61,""
1200,2012Q4,S92000003,d,S08000031,Breast,"",264,"",263,""
1201,2012Q4,S92000003,d,S08000032,Breast,"",65,"",65,""
1202,2012Q4,S08000015,"",S08000015,Cervical,"",1,"",1,""
1203,2012Q4,S08000016,"",S08000016,Cervical,"",1,"",1,""
1204,2012Q4,S08000017,"",S08000017,Cervical,"",1,"",1,""
1205,2012Q4,S08000019,"",S08000031,Cervical,"",1,"",1,""
1206,2012Q4,S08000020,"",S08000020,Cervical,"",4,"",4,""
1207,2012Q4,S08000022,"",S08000020,Cervical,"",1,"",1,""
1208,2012Q4,S08000024,"",S08000024,Cervical,"",4,"",4,""
1209,2012Q4,S08000029,"",S08000029,Cervical,"",3,"",3,""
1210,2012Q4,S08000030,"",S08000030,Cervical,"",4,"",4,""
1211,2012Q4,S08000031,"",S08000031,Cervical,"",4,"",3,""
1212,2012Q4,S08000032,"",S08000031,Cervical,"",6,"",6,""
1213,2012Q4,S08000032,"",S08000032,Cervical,"",4,"",4,""
1214,2012Q4,S92000003,d,S08000015,Cervical,"",1,"",1,""
1215,2012Q4,S92000003,d,S08000016,Cervical,"",1,"",1,""
1216,2012Q4,S92000003,d,S08000017,Cervical,"",1,"",1,""
1217,2012Q4,S92000003,d,S08000020,Cervical,"",5,"",5,""
1218,2012Q4,S92000003,d,S08000024,Cervical,"",4,"",4,""
1219,2012Q4,S92000003,d,S08000029,Cervical,"",3,"",3,""
1220,2012Q4,S92000003,d,S08000030,Cervical,"",4,"",4,""
1221,2012Q4,S92000003,d,S08000031,Cervical,"",11,"",10,""
1222,2012Q4,S92000003,d,S08000032,Cervical,"",4,"",4,""
1223,2012Q4,S08000015,"",S08000015,Colorectal,"",50,"",45,""
1224,2012Q4,S08000015,"",S08000031,Colorectal,"",4,"",2,""
1225,2012Q4,S08000016,"",S08000016,Colorectal,"",7,"",7,""
1226,2012Q4,S08000017,"",S08000017,Colorectal,"",15,"",14,""
1227,2012Q4,S08000017,"",S08000024,Colorectal,"",2,"",1,""
1228,2012Q4,S08000019,"",S08000019,Colorectal,"",32,"",31,""
1229,2012Q4,S08000019,"",S08000031,Colorectal,"",4,"",2,""
1230,2012Q4,S08000020,"",S08000020,Colorectal,"",58,"",54,""
1231,2012Q4,S08000022,"",S08000022,Colorectal,"",29,"",26,""
1232,2012Q4,S08000022,"",S08000031,Colorectal,"",1,"",1,""
1233,2012Q4,S08000024,"",S08000024,Colorectal,"",108,"",102,""
1234,2012Q4,S08000025,"",S08000025,Colorectal,"",1,"",1,""
1235,2012Q4,S08000026,"",S08000020,Colorectal,"",1,"",1,""
1236,2012Q4,S08000026,"",S08000026,Colorectal,"",7,"",7,""
1237,2012Q4,S08000028,"",S08000022,Colorectal,"",1,"",1,""
1238,2012Q4,S08000028,"",S08000028,Colorectal,"",1,"",1,""
1239,2012Q4,S08000029,"",S08000024,Colorectal,"",2,"",1,""
1240,2012Q4,S08000029,"",S08000029,Colorectal,"",32,"",32,""
1241,2012Q4,S08000030,"",S08000030,Colorectal,"",30,"",28,""
1242,2012Q4,S08000031,"",S08000022,Colorectal,"",3,"",3,""
1243,2012Q4,S08000031,"",S08000031,Colorectal,"",99,"",97,""
1244,2012Q4,S08000032,"",S08000031,Colorectal,"",3,"",3,""
1245,2012Q4,S08000032,"",S08000032,Colorectal,"",40,"",38,""
1246,2012Q4,S92000003,d,S08000015,Colorectal,"",50,"",45,""
1247,2012Q4,S92000003,d,S08000016,Colorectal,"",7,"",7,""
1248,2012Q4,S92000003,d,S08000017,Colorectal,"",15,"",14,""
1249,2012Q4,S92000003,d,S08000019,Colorectal,"",32,"",31,""
1250,2012Q4,S92000003,d,S08000020,Colorectal,"",59,"",55,""
1251,2012Q4,S92000003,d,S08000022,Colorectal,"",33,"",30,""
1252,2012Q4,S92000003,d,S08000024,Colorectal,"",112,"",104,""
1253,2012Q4,S92000003,d,S08000025,Colorectal,"",1,"",1,""
1254,2012Q4,S92000003,d,S08000026,Colorectal,"",7,"",7,""
1255,2012Q4,S92000003,d,S08000028,Colorectal,"",1,"",1,""
1256,2012Q4,S92000003,d,S08000029,Colorectal,"",32,"",32,""
1257,2012Q4,S92000003,d,S08000030,Colorectal,"",30,"",28,""
1258,2012Q4,S92000003,d,S08000031,Colorectal,"",111,"",105,""
1259,2012Q4,S92000003,d,S08000032,Colorectal,"",40,"",38,""
1260,2012Q4,S08000015,"",S08000015,Head & Neck,"",6,"",6,""
1261,2012Q4,S08000015,"",S08000031,Head & Neck,"",2,"",2,""
1262,2012Q4,S08000017,"",S08000017,Head & Neck,"",2,"",2,""
1263,2012Q4,S08000017,"",S08000031,Head & Neck,"",2,"",2,""
1264,2012Q4,S08000019,"",S08000019,Head & Neck,"",3,"",3,""
1265,2012Q4,S08000019,"",S08000031,Head & Neck,"",6,"",5,""
1266,2012Q4,S08000020,"",S08000020,Head & Neck,"",5,"",4,""
1267,2012Q4,S08000022,"",S08000022,Head & Neck,"",9,"",6,""
1268,2012Q4,S08000024,"",S08000024,Head & Neck,"",14,"",14,""
1269,2012Q4,S08000026,"",S08000020,Head & Neck,"",1,"",1,""
1270,2012Q4,S08000029,"",S08000024,Head & Neck,"",4,"",4,""
1271,2012Q4,S08000030,"",S08000030,Head & Neck,"",6,"",5,""
1272,2012Q4,S08000031,"",S08000031,Head & Neck,"",41,"",39,""
1273,2012Q4,S08000032,"",S08000031,Head & Neck,"",5,"",5,""
1274,2012Q4,S08000032,"",S08000032,Head & Neck,"",5,"",5,""
1275,2012Q4,S92000003,d,S08000015,Head & Neck,"",6,"",6,""
1276,2012Q4,S92000003,d,S08000017,Head & Neck,"",2,"",2,""
1277,2012Q4,S92000003,d,S08000019,Head & Neck,"",3,"",3,""
1278,2012Q4,S92000003,d,S08000020,Head & Neck,"",6,"",5,""
1279,2012Q4,S92000003,d,S08000022,Head & Neck,"",9,"",6,""
1280,2012Q4,S92000003,d,S08000024,Head & Neck,"",18,"",18,""
1281,2012Q4,S92000003,d,S08000030,Head & Neck,"",6,"",5,""
1282,2012Q4,S92000003,d,S08000031,Head & Neck,"",56,"",53,""
1283,2012Q4,S92000003,d,S08000032,Head & Neck,"",5,"",5,""
1284,2012Q4,S08000015,"",S08000015,Lung,"",40,"",39,""
1285,2012Q4,S08000015,"",S08000031,Lung,"",13,"",13,""
1286,2012Q4,S08000015,"",SB0801,Lung,"",6,"",4,""
1287,2012Q4,S08000016,"",S08000016,Lung,"",8,"",8,""
1288,2012Q4,S08000016,"",S08000024,Lung,"",2,"",2,""
1289,2012Q4,S08000017,"",S08000017,Lung,"",10,"",10,""
1290,2012Q4,S08000017,"",S08000024,Lung,"",1,"",1,""
1291,2012Q4,S08000017,"",SB0801,Lung,"",1,"",1,""
1292,2012Q4,S08000019,"",S08000019,Lung,"",20,"",20,""
1293,2012Q4,S08000019,"",S08000031,Lung,"",16,"",15,""
1294,2012Q4,S08000019,"",SB0801,Lung,"",6,"",6,""
1295,2012Q4,S08000020,"",S08000020,Lung,"",50,"",48,""
1296,2012Q4,S08000022,"",S08000020,Lung,"",1,"",1,""
1297,2012Q4,S08000022,"",S08000022,Lung,"",38,"",34,""
1298,2012Q4,S08000022,"",S08000031,Lung,"",2,"",2,""
1299,2012Q4,S08000024,"",S08000024,Lung,"",80,"",78,""
1300,2012Q4,S08000025,"",S08000020,Lung,"",1,"",1,""
1301,2012Q4,S08000026,"",S08000020,Lung,"",1,"",1,""
1302,2012Q4,S08000028,"",S08000022,Lung,"",2,"",2,""
1303,2012Q4,S08000028,"",S08000028,Lung,"",2,"",2,""
1304,2012Q4,S08000029,"",S08000024,Lung,"",17,"",12,""
1305,2012Q4,S08000029,"",S08000029,Lung,"",26,"",26,""
1306,2012Q4,S08000030,"",S08000020,Lung,"",1,"",1,""
1307,2012Q4,S08000030,"",S08000024,Lung,"",6,"",5,""
1308,2012Q4,S08000030,"",S08000030,Lung,"",41,"",38,""
1309,2012Q4,S08000031,"",S08000031,Lung,"",142,"",131,""
1310,2012Q4,S08000031,"",SB0801,Lung,"",14,"",11,""
1311,2012Q4,S08000032,"",S08000031,Lung,"",14,"",14,""
1312,2012Q4,S08000032,"",S08000032,Lung,"",33,"",33,""
1313,2012Q4,S08000032,"",SB0801,Lung,"",10,"",10,""
1314,2012Q4,S92000003,d,S08000015,Lung,"",40,"",39,""
1315,2012Q4,S92000003,d,S08000016,Lung,"",8,"",8,""
1316,2012Q4,S92000003,d,S08000017,Lung,"",10,"",10,""
1317,2012Q4,S92000003,d,S08000019,Lung,"",20,"",20,""
1318,2012Q4,S92000003,d,S08000020,Lung,"",54,"",52,""
1319,2012Q4,S92000003,d,S08000022,Lung,"",40,"",36,""
1320,2012Q4,S92000003,d,S08000024,Lung,"",106,"",98,""
1321,2012Q4,S92000003,d,S08000028,Lung,"",2,"",2,""
1322,2012Q4,S92000003,d,S08000029,Lung,"",26,"",26,""
1323,2012Q4,S92000003,d,S08000030,Lung,"",41,"",38,""
1324,2012Q4,S92000003,d,S08000031,Lung,"",187,"",175,""
1325,2012Q4,S92000003,d,S08000032,Lung,"",33,"",33,""
1326,2012Q4,S92000003,d,SB0801,Lung,"",37,"",32,""
1327,2012Q4,S08000015,"",S08000015,Lymphoma,"",4,"",3,""
1328,2012Q4,S08000016,"",S08000016,Lymphoma,"",4,"",4,""
1329,2012Q4,S08000017,"",S08000017,Lymphoma,"",2,"",2,""
1330,2012Q4,S08000019,"",S08000019,Lymphoma,"",7,"",7,""
1331,2012Q4,S08000020,"",S08000020,Lymphoma,"",10,"",10,""
1332,2012Q4,S08000022,"",S08000020,Lymphoma,"",1,"",1,""
1333,2012Q4,S08000022,"",S08000022,Lymphoma,"",9,"",9,""
1334,2012Q4,S08000022,"",S08000031,Lymphoma,"",1,"",1,""
1335,2012Q4,S08000024,"",S08000024,Lymphoma,"",17,"",16,""
1336,2012Q4,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
1337,2012Q4,S08000028,"",S08000022,Lymphoma,"",1,"",1,""
1338,2012Q4,S08000029,"",S08000029,Lymphoma,"",5,"",4,""
1339,2012Q4,S08000031,"",S08000031,Lymphoma,"",16,"",15,""
1340,2012Q4,S08000032,"",S08000032,Lymphoma,"",10,"",10,""
1341,2012Q4,S92000003,d,S08000015,Lymphoma,"",4,"",3,""
1342,2012Q4,S92000003,d,S08000016,Lymphoma,"",4,"",4,""
1343,2012Q4,S92000003,d,S08000017,Lymphoma,"",2,"",2,""
1344,2012Q4,S92000003,d,S08000019,Lymphoma,"",7,"",7,""
1345,2012Q4,S92000003,d,S08000020,Lymphoma,"",12,"",12,""
1346,2012Q4,S92000003,d,S08000022,Lymphoma,"",10,"",10,""
1347,2012Q4,S92000003,d,S08000024,Lymphoma,"",17,"",16,""
1348,2012Q4,S92000003,d,S08000029,Lymphoma,"",5,"",4,""
1349,2012Q4,S92000003,d,S08000031,Lymphoma,"",17,"",16,""
1350,2012Q4,S92000003,d,S08000032,Lymphoma,"",10,"",10,""
1351,2012Q4,S08000015,"",S08000015,Melanoma,"",6,"",6,""
1352,2012Q4,S08000015,"",S08000031,Melanoma,"",1,"",1,""
1353,2012Q4,S08000016,"",S08000016,Melanoma,"",5,"",5,""
1354,2012Q4,S08000017,"",S08000017,Melanoma,"",3,"",3,""
1355,2012Q4,S08000019,"",S08000019,Melanoma,"",8,"",7,""
1356,2012Q4,S08000020,"",S08000020,Melanoma,"",6,"",5,""
1357,2012Q4,S08000022,"",S08000022,Melanoma,"",11,"",11,""
1358,2012Q4,S08000024,"",S08000024,Melanoma,"",20,"",20,""
1359,2012Q4,S08000025,"",S08000025,Melanoma,"",1,"",1,""
1360,2012Q4,S08000026,"",S08000026,Melanoma,"",1,"",1,""
1361,2012Q4,S08000028,"",S08000028,Melanoma,"",2,"",2,""
1362,2012Q4,S08000029,"",S08000024,Melanoma,"",2,"",2,""
1363,2012Q4,S08000029,"",S08000029,Melanoma,"",3,"",3,""
1364,2012Q4,S08000030,"",S08000030,Melanoma,"",6,"",6,""
1365,2012Q4,S08000031,"",S08000031,Melanoma,"",17,"",17,""
1366,2012Q4,S08000032,"",S08000031,Melanoma,"",2,"",2,""
1367,2012Q4,S08000032,"",S08000032,Melanoma,"",10,"",8,""
1368,2012Q4,S92000003,d,S08000015,Melanoma,"",6,"",6,""
1369,2012Q4,S92000003,d,S08000016,Melanoma,"",5,"",5,""
1370,2012Q4,S92000003,d,S08000017,Melanoma,"",3,"",3,""
1371,2012Q4,S92000003,d,S08000019,Melanoma,"",8,"",7,""
1372,2012Q4,S92000003,d,S08000020,Melanoma,"",6,"",5,""
1373,2012Q4,S92000003,d,S08000022,Melanoma,"",11,"",11,""
1374,2012Q4,S92000003,d,S08000024,Melanoma,"",22,"",22,""
1375,2012Q4,S92000003,d,S08000025,Melanoma,"",1,"",1,""
1376,2012Q4,S92000003,d,S08000026,Melanoma,"",1,"",1,""
1377,2012Q4,S92000003,d,S08000028,Melanoma,"",2,"",2,""
1378,2012Q4,S92000003,d,S08000029,Melanoma,"",3,"",3,""
1379,2012Q4,S92000003,d,S08000030,Melanoma,"",6,"",6,""
1380,2012Q4,S92000003,d,S08000031,Melanoma,"",20,"",20,""
1381,2012Q4,S92000003,d,S08000032,Melanoma,"",10,"",8,""
1382,2012Q4,S08000015,"",S08000015,Ovarian,"",2,"",2,""
1383,2012Q4,S08000015,"",S08000031,Ovarian,"",1,"",1,""
1384,2012Q4,S08000016,"",S08000016,Ovarian,"",5,"",5,""
1385,2012Q4,S08000017,"",S08000017,Ovarian,"",1,"",1,""
1386,2012Q4,S08000017,"",S08000024,Ovarian,"",2,"",2,""
1387,2012Q4,S08000019,"",S08000019,Ovarian,"",2,"",2,""
1388,2012Q4,S08000019,"",S08000031,Ovarian,"",1,"",1,""
1389,2012Q4,S08000020,"",S08000020,Ovarian,"",6,"",6,""
1390,2012Q4,S08000022,"",S08000022,Ovarian,"",3,"",3,""
1391,2012Q4,S08000024,"",S08000024,Ovarian,"",6,"",6,""
1392,2012Q4,S08000025,"",S08000020,Ovarian,"",1,"",1,""
1393,2012Q4,S08000028,"",S08000031,Ovarian,"",1,"",1,""
1394,2012Q4,S08000029,"",S08000024,Ovarian,"",3,"",3,""
1395,2012Q4,S08000029,"",S08000029,Ovarian,"",8,"",7,""
1396,2012Q4,S08000030,"",S08000030,Ovarian,"",6,"",6,""
1397,2012Q4,S08000031,"",S08000031,Ovarian,"",7,"",7,""
1398,2012Q4,S08000032,"",S08000031,Ovarian,"",7,"",7,""
1399,2012Q4,S08000032,"",S08000032,Ovarian,"",3,"",3,""
1400,2012Q4,S92000003,d,S08000015,Ovarian,"",2,"",2,""
1401,2012Q4,S92000003,d,S08000016,Ovarian,"",5,"",5,""
1402,2012Q4,S92000003,d,S08000017,Ovarian,"",1,"",1,""
1403,2012Q4,S92000003,d,S08000019,Ovarian,"",2,"",2,""
1404,2012Q4,S92000003,d,S08000020,Ovarian,"",7,"",7,""
1405,2012Q4,S92000003,d,S08000022,Ovarian,"",3,"",3,""
1406,2012Q4,S92000003,d,S08000024,Ovarian,"",11,"",11,""
1407,2012Q4,S92000003,d,S08000029,Ovarian,"",8,"",7,""
1408,2012Q4,S92000003,d,S08000030,Ovarian,"",6,"",6,""
1409,2012Q4,S92000003,d,S08000031,Ovarian,"",17,"",17,""
1410,2012Q4,S92000003,d,S08000032,Ovarian,"",3,"",3,""
1411,2012Q4,S08000015,"",S08000015,Upper GI,"",17,"",17,""
1412,2012Q4,S08000015,"",S08000031,Upper GI,"",6,"",5,""
1413,2012Q4,S08000016,"",S08000016,Upper GI,"",8,"",8,""
1414,2012Q4,S08000016,"",S08000024,Upper GI,"",2,"",2,""
1415,2012Q4,S08000017,"",S08000017,Upper GI,"",6,"",6,""
1416,2012Q4,S08000017,"",S08000024,Upper GI,"",1,"",1,""
1417,2012Q4,S08000019,"",S08000019,Upper GI,"",19,"",19,""
1418,2012Q4,S08000019,"",S08000024,Upper GI,"",1,"",1,""
1419,2012Q4,S08000019,"",S08000031,Upper GI,"",4,"",4,""
1420,2012Q4,S08000020,"",S08000020,Upper GI,"",36,"",36,""
1421,2012Q4,S08000020,"",S08000030,Upper GI,"",1,"",1,""
1422,2012Q4,S08000022,"",S08000022,Upper GI,"",13,"",13,""
1423,2012Q4,S08000022,"",S08000031,Upper GI,"",1,"",1,""
1424,2012Q4,S08000024,"",S08000024,Upper GI,"",69,"",68,""
